"Issue Type","Summary","Parent Summary","Description","Assignee","Priority","Story Points","Component"
"Sub-task","[BE] API Đăng ký và Đăng nhập Ứng viên: Lưu User/Candidate và cấp JWT Token","[Thịnh] Đăng ký & Đăng nhập tài khoản Ứng viên (Candidate Auth)","Xây dựng backend xác thực Ứng viên theo Clean Architecture:
- Inbound Controller: AuthController (POST /api/v1/auth/register, POST /api/v1/auth/login).
- UseCase RegisterCandidateUseCase: Tạo bản ghi trong bảng users, gán ROLE_CANDIDATE trong user_roles, tự động khởi tạo bản ghi trong bảng candidates trong 1 Transaction.
- UseCase LoginUseCase: Xác thực thông tin qua AuthenticationManager, sinh JWT Access & Refresh Token.
- Trả về mã lỗi 409 Conflict nếu email đã tồn tại, 401 nếu sai mật khẩu.
- Viết Unit test xác thực và MockMvc test.","Đặng Trường Thịnh","High",1,"Candidate Module"
"Sub-task","[FE] Giao diện xem và cập nhật thông tin cá nhân & liên kết mạng xã hội của Ứng viên","[Thịnh] Xem & Cập nhật Hồ sơ Ứng viên (Update Candidate Profile)","Xây dựng giao diện Quản lý hồ sơ cá nhân cho Ứng viên:
- Màn hình xem hồ sơ cá nhân đầy đủ (Overview profile).
- Form cập nhật thông tin: Ngày sinh, Giới tính, Địa chỉ, Thành phố, Mục tiêu nghề nghiệp (Bio), Vị trí mong muốn, Mức lương kỳ vọng.
- Thêm liên kết mạng xã hội chuyên môn: Website cá nhân, LinkedIn URL, GitHub URL.
- Validate định dạng ngày tháng, số điện thoại, URL hợp lệ.
- Tích hợp gọi API GET/PUT /api/v1/candidates/profile.","Đặng Trường Thịnh","Highest",1,"Candidate Module"
"Sub-task","[BE] API xem và cập nhật hồ sơ Ứng viên (Clean Architecture & Validation)","[Thịnh] Xem & Cập nhật Hồ sơ Ứng viên (Update Candidate Profile)","Xây dựng backend quản lý hồ sơ ứng viên theo Clean Architecture:
- Inbound Controller: CandidateProfileController (GET/PUT /api/v1/candidates/profile).
- Inbound Port & UseCase: GetCandidateProfileUseCase, UpdateCandidateProfileUseCase.
- Outbound Adapter: CandidatePersistenceAdapter thao tác với bảng candidates.
- DTO Request với Bean Validation (@Pattern SĐT, @Past Ngày sinh, URL formats).
- Bảo vệ endpoint bằng @PreAuthorize(""hasRole('CANDIDATE')""), lấy user_id trực tiếp từ SecurityContext JWT.
- Viết Unit test cho UseCase cập nhật hồ sơ.","Đặng Trường Thịnh","Highest",2,"Candidate Module"
"Sub-task","[FE] Màn hình Đăng ký, Đăng nhập & Trang cập nhật Profile Nhà tuyển dụng (HR)","[Hiếu] Đăng ký, Đăng nhập & Quản lý Profile Nhà tuyển dụng (HR Auth & Profile)","Xây dựng giao diện cho Nhà tuyển dụng (HR):
- Màn hình Đăng ký tài khoản HR: Form nhập Họ tên, Email, Số điện thoại, Chức vụ (Position).
- Màn hình Đăng nhập HR: Xác thực và điều hướng vào HR Workspace.
- Trang cập nhật hồ sơ cá nhân HR: Chỉnh sửa Họ tên, SĐT, Vị trí công tác, Upload Avatar.
- Hiển thị thông tin công ty trực thuộc hoặc banner hướng dẫn 'Tạo công ty mới / Xin gia nhập công ty' nếu chưa có công ty.","Nguyễn Phan Minh Hiếu","High",1,"HR & Company"
"Sub-task","[BE] API Đăng ký, Đăng nhập và Cập nhật Profile HR (Recruiter Entity & RBAC)","[Hiếu] Đăng ký, Đăng nhập & Quản lý Profile Nhà tuyển dụng (HR Auth & Profile)","Xây dựng backend cho Nhà tuyển dụng theo Clean Architecture:
- Endpoint POST /api/v1/auth/register (Role RECRUITER): Tạo user và bản ghi recruiter với company_id = null ban đầu.
- Inbound Controller: RecruiterProfileController (GET/PUT /api/v1/recruiters/profile).
- UseCase GetRecruiterProfileUseCase, UpdateRecruiterProfileUseCase.
- Outbound Adapter: RecruiterPersistenceAdapter.
- Phân quyền @PreAuthorize(""hasRole('RECRUITER')""), kiểm tra bảo mật truy cập.
- Viết Unit test và MockMvc test.","Nguyễn Phan Minh Hiếu","High",1,"HR & Company"
"Sub-task","[FE] Màn hình Form tạo yêu cầu mở Công ty mới & Upload logo dành cho HR","[Hiếu] Yêu cầu tạo mới một Công ty (Request Create New Company)","Xây dựng giao diện Form đăng ký công ty mới cho HR:
- Form nhập thông tin công ty: Tên công ty, Mã số thuế, Website, Quy mô nhân sự, Địa chỉ trụ sở, Tỉnh/Thành phố, Giới thiệu công ty.
- Khu vực upload Logo công ty kèm preview hình ảnh trực quan.
- Màn hình thông báo trạng thái 'Hồ sơ công ty đang chờ Admin phê duyệt'.
- Tích hợp gọi API POST /api/v1/recruiters/companies/request-create.","Nguyễn Phan Minh Hiếu","Highest",1,"HR & Company"
"Sub-task","[BE] API tạo yêu cầu đăng ký Công ty mới với trạng thái PENDING (Clean Architecture)","[Hiếu] Yêu cầu tạo mới một Công ty (Request Create New Company)","Xây dựng backend tạo yêu cầu công ty mới theo Clean Architecture:
- Inbound Controller: RecruiterCompanyController (POST /api/v1/recruiters/companies/request-create).
- Inbound Port & UseCase: RequestCreateCompanyUseCase.
- Validation: Kiểm tra trùng mã số thuế, kiểm tra HR hiện tại chưa thuộc công ty nào khác.
- Outbound Adapter: CompanyPersistenceAdapter lưu bản ghi company với status = PENDING, created_by_user_id = HR hiện tại.
- Xử lý mã lỗi 409 nếu trùng MST, 400 nếu HR đã có công ty.
- Viết Unit test cho UseCase kiểm tra ràng buộc nghiệp vụ.","Nguyễn Phan Minh Hiếu","Highest",2,"HR & Company"
"Sub-task","[FE] Giao diện Tìm kiếm công ty và Modal gửi yêu cầu xin gia nhập công ty","[Tình] Tìm kiếm & Gửi yêu cầu gia nhập Công ty có sẵn (Join Company Request)","Xây dựng giao diện cho HR tìm kiếm và gia nhập công ty:
- Thanh tìm kiếm công ty dạng Auto-complete / Search List hiển thị danh sách công ty đã APPROVED.
- Thẻ thông tin công ty: Logo, Tên công ty, Địa chỉ, Quy mô nhân sự, Website.
- Modal 'Gửi yêu cầu gia nhập': Nhập vị trí công tác (vd: Senior Recruiter) và Lời nhắn gửi đến ban quản trị công ty.
- Khóa (Disable) nút gửi nếu HR đã có yêu cầu gia nhập đang ở trạng thái PENDING.
- Tích hợp gọi API GET /api/v1/recruiters/companies/search và POST /api/v1/recruiters/companies/{companyId}/join-request.","Trần Đình Tình","High",1,"HR & Company"
"Sub-task","[BE] API Tìm kiếm công ty đã duyệt và Gửi yêu cầu gia nhập chống trùng lặp","[Tình] Tìm kiếm & Gửi yêu cầu gia nhập Công ty có sẵn (Join Company Request)","Xây dựng backend tìm kiếm và gia nhập công ty theo Clean Architecture:
- Inbound Controller: CompanyJoinRequestController.
- UseCase SearchApprovedCompaniesUseCase: Tìm kiếm công ty có status = APPROVED theo từ khóa có phân trang.
- UseCase SubmitJoinCompanyRequestUseCase: Kiểm tra HR chưa thuộc công ty nào, kiểm tra chưa có request PENDING nào khác trước khi tạo bản ghi trong bảng company_join_requests (status = PENDING).
- Trả về mã lỗi 409 Conflict nếu đã có yêu cầu chờ duyệt.
- Viết Unit test nghiệp vụ và MockMvc test.","Trần Đình Tình","High",1,"HR & Company"
"Sub-task","[FE] Giao diện Quản lý yêu cầu gia nhập công ty nội bộ (Approve / Reject kèm lý do)","[Tình] HR phê duyệt hoặc từ chối yêu cầu gia nhập của HR khác (HR Peer Approval)","Xây dựng giao diện cho HR quản lý thành viên công ty:
- Màn hình danh sách các yêu cầu xin gia nhập đang PENDING của công ty mình.
- Hiển thị thông tin người xin gia nhập: Avatar, Họ tên, Email, Số điện thoại, Vị trí ứng tuyển, Thời gian gửi.
- Nút Chấp thuận (Approve): Xác nhận đưa HR vào công ty.
- Nút Từ chối (Reject): Mở dialog nhập lý do từ chối gửi thông báo.
- Badge đếm số lượng yêu cầu cần xử lý.
- Tích hợp gọi API GET /api/v1/recruiters/companies/my-company/join-requests và PATCH /api/v1/recruiters/companies/join-requests/{requestId}.","Trần Đình Tình","Highest",1,"HR & Company"
"Sub-task","[BE] API Lấy danh sách yêu cầu gia nhập và Phê duyệt thành viên HR nội bộ công ty","[Tình] HR phê duyệt hoặc từ chối yêu cầu gia nhập của HR khác (HR Peer Approval)","Xây dựng backend phê duyệt thành viên nội bộ theo Clean Architecture:
- Inbound Controller: CompanyPeerApprovalController.
- UseCase GetPendingJoinRequestsUseCase: Lấy danh sách request PENDING của công ty mà HR hiện tại đang trực thuộc.
- UseCase ReviewJoinRequestUseCase: 
  + Nếu ACCEPTED: Cập nhật status request = ACCEPTED, đồng thời gán company_id vào Recruiter xin gia nhập trong 1 Transaction.
  + Nếu REJECTED: Cập nhật status request = REJECTED kèm lý do.
- Bảo mật: Kiểm tra HR thao tác phải cùng company_id với request, ném lỗi 403 Forbidden nếu không đúng thẩm quyền.
- Viết Unit test đảm bảo tính đúng đắn và Transaction rollback khi có lỗi.","Trần Đình Tình","Highest",2,"HR & Company"
